Image,Attack,10%_PSNR,20%_PSNR,30%_PSNR,40%_PSNR,50%_PSNR
Boat,Content Removal,39.34,37.67,36.31,35.24,33.79
,Copy Move,39.83,37.37,35.18,33.53,32.40
,Splicing,39.19,37.53,36.31,35.04,33.63
,Cropping,40.25,38.29,37.31,36.13,34.46
Chemicalplant,Content Removal,39.03,36.91,35.46,34.13,32.79
,Copy Move,38.65,35.56,34.10,32.69,31.84
,Splicing,39.03,36.45,35.11,34.00,32.62
,Cropping,38.21,37.25,35.85,34.55,33.11
Clock,Content Removal,41.26,39.22,37.79,36.46,34.77
,Copy Move,40.30,36.97,35.47,34.34,33.67
,Splicing,41.25,38.73,37.41,36.43,35.00
,Cropping,39.78,40.04,39.06,37.97,36.32
Houses,Content Removal,40.10,38.56,36.98,35.94,34.29
,Copy Move,40.15,37.35,35.45,33.99,33.28
,Splicing,40.10,38.12,36.73,35.93,34.45
,Cropping,40.56,39.96,39.09,38.07,36.51
JetPlane,Content Removal,40.23,38.48,37.26,36.22,34.82
,Copy Move,40.25,37.67,35.57,34.25,33.49
,Splicing,40.15,38.35,37.26,36.08,34.73
,Cropping,40.88,39.77,39.13,38.11,36.37
Lake,Content Removal,40.24,38.31,36.81,35.58,34.10
,Copy Move,40.34,37.29,35.26,33.95,32.83
,Splicing,40.16,38.14,36.81,35.37,33.90
,Cropping,39.27,37.17,36.17,35.13,33.72
Mandril,Content Removal,40.32,38.09,35.90,34.23,32.65
,Copy Move,38.57,35.93,34.28,33.08,32.07
,Splicing,40.21,37.85,35.90,33.97,32.44
,Cropping,38.23,35.74,34.55,33.31,31.93
Peppers,Content Removal,40.64,39.21,38.03,36.96,35.37
,Copy Move,40.81,38.23,35.88,34.47,33.40
,Splicing,40.57,39.07,38.03,36.77,35.18
,Cropping,40.36,38.84,37.89,36.72,35.09
Walter-Cronkite,Content Removal,40.77,39.35,38.57,37.20,35.48
,Copy Move,42.35,38.55,36.39,34.82,33.94
,Splicing,40.77,39.13,38.29,37.02,35.43
,Cropping,41.42,40.98,40.04,38.75,37.00

AVERAGE,-,40.10,38.11,36.71,35.46,34.08
