Image,0.01,0.03,0.05,0.07,0.09
Boat,33.91 / 0.8127,42.81 / 0.9831,42.10 / 0.9804,41.48 / 0.9774,40.90 / 0.9743
Chemicalplant,32.80 / 0.7678,42.35 / 0.9894,41.55 / 0.9870,40.86 / 0.9847,40.21 / 0.9822
Clock,35.97 / 0.8837,43.55 / 0.9764,43.22 / 0.9746,42.84 / 0.9735,42.49 / 0.9733
Houses,35.53 / 0.8615,43.22 / 0.9757,42.73 / 0.9740,42.27 / 0.9718,41.85 / 0.9697
JetPlane,35.33 / 0.8700,43.56 / 0.9781,43.12 / 0.9774,42.73 / 0.9766,42.36 / 0.9755
Lake,33.82 / 0.8243,42.74 / 0.9832,41.94 / 0.9802,41.26 / 0.9778,40.68 / 0.9747
Mandril,32.27 / 0.7334,41.77 / 0.9869,40.65 / 0.9817,39.80 / 0.9762,39.08 / 0.9713
Peppers,35.06 / 0.8629,43.38 / 0.9798,42.83 / 0.9778,42.37 / 0.9754,41.93 / 0.9729
Walter-Cronkite,36.24 / 0.8946,43.96 / 0.9779,43.81 / 0.9777,43.67 / 0.9775,43.44 / 0.9772

AVERAGE,34.55 / 0.8346,43.04 / 0.9812,42.44 / 0.9790,41.92 / 0.9768,41.44 / 0.9745
