Attack,Nominal Rate (%),Measured Tampering Rate (%),TPR (%),FPR (%),Precision (%),Accuracy (%)
Content Removal,10,10.34,99.99,0.00,100.00,100.00
Content Removal,20,20.53,99.98,0.00,100.00,99.99
Content Removal,30,30.91,99.94,0.00,100.00,99.98
Content Removal,40,40.21,99.95,0.00,100.00,99.98
Content Removal,50,50.73,99.93,0.00,100.00,99.97
Copy-Move,10,9.77,99.99,0.00,100.00,100.00
Copy-Move,20,19.72,99.98,0.00,100.00,100.00
Copy-Move,30,29.91,99.98,0.00,100.00,99.99
Copy-Move,40,39.06,99.97,0.00,100.00,99.99
Copy-Move,50,49.44,99.97,0.00,100.00,99.99
Splicing,10,9.77,100.00,0.00,100.00,100.00
Splicing,20,19.72,100.00,0.00,100.00,100.00
Splicing,30,29.91,100.00,0.00,100.00,100.00
Splicing,40,39.06,100.00,0.00,100.00,100.00
Splicing,50,49.44,100.00,0.00,100.00,100.00
Cropping,10,12.11,99.99,0.00,100.00,100.00
Cropping,20,21.14,100.00,0.00,100.00,100.00
Cropping,30,31.85,99.98,0.00,100.00,99.99
Cropping,40,41.78,99.97,0.00,100.00,99.99
Cropping,50,50.92,99.98,0.00,100.00,99.99
