Attack,Image,Tampering Rate (%),TPR (%),FPR (%),Precision (%),Accuracy (%),WPSNR (dB),WSSIM,RPSNR (dB),RSSIM
semantic_duplicate,Boat,15.48,99.96,0.00,100.00,99.99,44.15,0.9872,29.12,0.9265
,Chemicalplant,1.86,100.00,0.00,100.00,100.00,44.19,0.9930,36.30,0.9828
,Clock,40.48,100.00,0.00,100.00,100.00,44.22,0.9776,24.91,0.8916
,Houses,11.45,100.00,0.00,100.00,100.00,44.05,0.9792,32.98,0.9469
,JetPlane,26.42,99.93,0.00,100.00,99.98,44.25,0.9796,28.45,0.9204
,Lake,12.71,99.95,0.00,100.00,99.99,44.29,0.9872,30.39,0.9509
,Mandril,20.21,99.97,0.00,100.00,99.99,44.29,0.9945,26.08,0.8793
,Peppers,20.72,99.94,0.00,100.00,99.99,44.33,0.9833,31.73,0.9290
,Walter-Cronkite,31.69,100.00,0.00,100.00,100.00,44.16,0.9781,29.95,0.9216
,AVERAGE,20.11,99.97,0.00,100.00,99.99,44.21,0.9844,29.99,0.9277

polygon_splice,Boat,7.43,100.00,0.00,100.00,100.00,44.15,0.9872,34.77,0.9698
,Chemicalplant,7.91,100.00,0.00,100.00,100.00,44.19,0.9930,36.82,0.9772
,Clock,7.91,99.69,0.00,100.00,99.98,44.22,0.9776,33.26,0.9651
,Houses,7.91,100.00,0.00,100.00,100.00,44.05,0.9792,36.34,0.9652
,JetPlane,7.43,100.00,0.00,100.00,100.00,44.25,0.9796,37.82,0.9718
,Lake,7.43,100.00,0.00,100.00,100.00,44.29,0.9872,37.28,0.9781
,Mandril,7.43,100.00,0.00,100.00,100.00,44.29,0.9945,36.61,0.9755
,Peppers,7.43,100.00,0.00,100.00,100.00,44.33,0.9833,38.76,0.9716
,Walter-Cronkite,7.91,100.00,0.00,100.00,100.00,44.16,0.9781,40.19,0.9687
,AVERAGE,7.65,99.97,0.00,100.00,100.00,44.21,0.9844,36.87,0.9715

scatter_tamper,Boat,1.76,100.00,0.00,100.00,100.00,44.15,0.9872,39.98,0.9821
,Chemicalplant,1.76,100.00,0.00,100.00,100.00,44.19,0.9930,35.50,0.9813
,Clock,1.76,100.00,0.00,100.00,100.00,44.22,0.9776,41.01,0.9743
,Houses,1.76,100.00,0.00,100.00,100.00,44.05,0.9792,38.45,0.9691
,JetPlane,1.76,100.00,0.00,100.00,100.00,44.25,0.9796,40.89,0.9765
,Lake,1.76,100.00,0.00,100.00,100.00,44.29,0.9872,38.20,0.9811
,Mandril,1.76,100.00,0.00,100.00,100.00,44.29,0.9945,35.58,0.9836
,Peppers,1.76,100.00,0.00,100.00,100.00,44.33,0.9833,42.49,0.9795
,Walter-Cronkite,1.76,100.00,0.00,100.00,100.00,44.16,0.9781,40.56,0.9745
,AVERAGE,1.76,100.00,0.00,100.00,100.00,44.21,0.9844,39.18,0.9780

diagonal_band,Boat,22.75,99.79,0.00,100.00,99.95,44.15,0.9872,30.26,0.9083
,Chemicalplant,22.07,100.00,0.00,100.00,100.00,44.19,0.9930,26.06,0.8747
,Clock,22.07,100.00,0.00,100.00,100.00,44.22,0.9776,30.18,0.9276
,Houses,22.07,99.89,0.00,100.00,99.98,44.05,0.9792,28.50,0.9073
,JetPlane,22.74,99.68,0.00,100.00,99.93,44.25,0.9796,27.60,0.9092
,Lake,22.75,99.97,0.00,100.00,99.99,44.29,0.9872,27.11,0.9037
,Mandril,22.75,99.89,0.00,100.00,99.98,44.29,0.9945,26.23,0.8684
,Peppers,22.75,99.97,0.00,100.00,99.99,44.33,0.9833,29.08,0.9130
,Walter-Cronkite,22.07,100.00,0.00,100.00,100.00,44.16,0.9781,26.99,0.9163
,AVERAGE,22.45,99.91,0.00,100.00,99.98,44.21,0.9844,28.00,0.9032

