Attack Category,Condition,Avg Modified Blocks (%),Boat,Chemicalplant,Clock,Houses,JetPlane,Lake,Mandril,Peppers,Walter-Cronkite
JPEG Compression,Q = 90,99.97,99.97,99.98,100.00,99.93,99.95,99.98,99.97,99.96,99.98
JPEG Compression,Q = 70,99.98,99.97,99.98,99.98,99.98,99.99,99.99,99.97,99.98,99.98
JPEG Compression,Q = 50,99.97,99.98,99.98,99.98,99.98,99.99,99.98,99.96,99.97,99.98
JPEG Compression,Q = 30,99.97,99.99,100.00,99.93,100.00,99.97,99.95,99.98,99.98,99.93
JPEG Compression,Q = 10,99.97,99.94,99.95,100.00,100.00,99.96,99.97,99.96,99.96,99.95
Content Removal,10% area,10.48,10.26,10.77,10.77,10.77,10.26,10.25,10.26,10.26,10.77
Content Removal,20% area,20.53,20.53,20.53,20.53,20.53,20.53,20.53,20.53,20.53,20.53
Content Removal,30% area,31.13,30.76,31.59,31.59,31.59,30.76,30.76,30.76,30.76,31.59
Content Removal,40% area,40.46,40.03,40.99,40.99,40.99,40.03,40.03,40.03,40.03,40.99
Content Removal,50% area,51.00,50.51,51.61,51.61,51.61,50.51,50.51,50.51,50.51,51.61
Copy-Move,10% area,9.76,9.77,9.77,9.77,9.77,9.77,9.77,9.76,9.77,9.77
Copy-Move,20% area,19.52,19.83,19.14,19.14,19.12,19.82,19.83,19.82,19.83,19.14
Copy-Move,30% area,29.90,29.91,29.91,29.91,29.91,29.90,29.88,29.91,29.90,29.88
Copy-Move,40% area,39.06,39.04,39.06,39.06,39.06,39.06,39.06,39.06,39.04,39.06
Copy-Move,50% area,49.42,49.43,49.44,49.34,49.41,49.43,49.43,49.43,49.41,49.44
Splicing,10% area,9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.76
Splicing,20% area,19.51,19.82,19.13,19.13,19.13,19.82,19.82,19.82,19.82,19.13
Splicing,30% area,29.91,29.91,29.91,29.91,29.91,29.91,29.91,29.91,29.91,29.91
Splicing,40% area,39.06,39.05,39.06,39.06,39.06,39.05,39.05,39.05,39.05,39.06
Splicing,50% area,49.41,49.42,49.39,49.39,49.39,49.42,49.42,49.42,49.42,49.39

Decision Threshold (tau),,85.0
