Image,Attack,Embed (s),Detection (s),Recovery (s)
Boat,Content Removal,2.1702,0.8168,0.1109
Boat,Copy-Move,2.1702,0.7990,0.1323
Boat,Splicing,2.1702,0.7832,0.1308
Boat,JPEG ($Q=90$),2.1702,0.7784,0.4782
Boat,Salt \& Pepper (0.05),2.1702,0.7997,1.2380
Boat,Cropping (40\%),2.1702,0.7989,0.4587
Chemicalplant,Content Removal,0.5565,0.1993,0.0258
Chemicalplant,Copy-Move,0.5565,0.1988,0.0259
Chemicalplant,Splicing,0.5565,0.2002,0.0524
Chemicalplant,JPEG ($Q=90$),0.5565,0.1979,0.1136
Chemicalplant,Salt \& Pepper (0.05),0.5565,0.2020,0.2927
Chemicalplant,Cropping (40\%),0.5565,0.1971,0.1483
Clock,Content Removal,0.5389,0.1969,0.0271
Clock,Copy-Move,0.5389,0.1967,0.0289
Clock,Splicing,0.5389,0.1963,0.0534
Clock,JPEG ($Q=90$),0.5389,0.1991,0.1204
Clock,Salt \& Pepper (0.05),0.5389,0.2009,0.2983
Clock,Cropping (40\%),0.5389,0.1983,0.1455
Houses,Content Removal,0.5486,0.2031,0.0219
Houses,Copy-Move,0.5486,0.1969,0.0283
Houses,Splicing,0.5486,0.1977,0.0551
Houses,JPEG ($Q=90$),0.5486,0.1973,0.1157
Houses,Salt \& Pepper (0.05),0.5486,0.1942,0.3055
Houses,Cropping (40\%),0.5486,0.1970,0.1471
JetPlane,Content Removal,2.1786,0.7837,0.1331
JetPlane,Copy-Move,2.1786,0.8060,0.0915
JetPlane,Splicing,2.1786,0.7851,0.1300
JetPlane,JPEG ($Q=90$),2.1786,0.7873,0.4570
JetPlane,Salt \& Pepper (0.05),2.1786,0.7891,1.2115
JetPlane,Cropping (40\%),2.1786,0.7807,0.4660
Lake,Content Removal,2.1638,0.7864,0.1257
Lake,Copy-Move,2.1638,0.8250,0.0875
Lake,Splicing,2.1638,0.7900,0.1324
Lake,JPEG ($Q=90$),2.1638,0.7879,0.4861
Lake,Salt \& Pepper (0.05),2.1638,0.8029,1.1962
Lake,Cropping (40\%),2.1638,0.7863,0.4632
Mandril,Content Removal,2.1616,0.8177,0.0968
Mandril,Copy-Move,2.1616,0.8004,0.1000
Mandril,Splicing,2.1616,0.8014,0.1105
Mandril,JPEG ($Q=90$),2.1616,0.7914,0.4609
Mandril,Salt \& Pepper (0.05),2.1616,0.8095,1.1992
Mandril,Cropping (40\%),2.1616,0.8019,0.4744
Peppers,Content Removal,2.1791,0.7910,0.1338
Peppers,Copy-Move,2.1791,0.8024,0.1082
Peppers,Splicing,2.1791,0.7871,0.1193
Peppers,JPEG ($Q=90$),2.1791,0.7911,0.4657
Peppers,Salt \& Pepper (0.05),2.1791,0.7952,1.2165
Peppers,Cropping (40\%),2.1791,0.7881,0.4830
Walter-Cronkite,Content Removal,0.5729,0.2005,0.0231
Walter-Cronkite,Copy-Move,0.5729,0.1995,0.0273
Walter-Cronkite,Splicing,0.5729,0.1982,0.0501
Walter-Cronkite,JPEG ($Q=90$),0.5729,0.1945,0.1177
Walter-Cronkite,Salt \& Pepper (0.05),0.5729,0.1992,0.2970
Walter-Cronkite,Cropping (40\%),0.5729,0.1970,0.1482

AVERAGE ± STD (95% CI),Embedding,1.452 ± 0.852 (CI: ±0.655),,
,Content Removal,,0.533 ± 0.316 (CI: ±0.243),0.078 ± 0.052 (CI: ±0.040)
,Copy-Move,,0.536 ± 0.321 (CI: ±0.247),0.070 ± 0.042 (CI: ±0.032)
,Splicing,,0.527 ± 0.312 (CI: ±0.240),0.093 ± 0.038 (CI: ±0.030)
,JPEG ($Q=90$),,0.525 ± 0.311 (CI: ±0.239),0.313 ± 0.186 (CI: ±0.143)
,Salt \& Pepper (0.05),,0.533 ± 0.316 (CI: ±0.243),0.806 ± 0.482 (CI: ±0.370)
,Cropping (40\%),,0.527 ± 0.313 (CI: ±0.241),0.326 ± 0.170 (CI: ±0.130)
