tau_th (%),eta_th (%),Overall Acc (%),ContentRm,CopyMove,Splicing,JPEG,Noise,Cropping
60,0.1,55.6,0.0,88.9,55.6,88.9,100.0,0.0
60,0.3,66.7,0.0,100.0,100.0,100.0,100.0,0.0
60,0.5,66.7,0.0,100.0,100.0,100.0,100.0,0.0
60,1.0,66.7,0.0,100.0,100.0,100.0,100.0,0.0
60,2.0,72.2,33.3,100.0,100.0,100.0,100.0,0.0
60,5.0,66.7,100.0,100.0,100.0,100.0,0.0,0.0
65,0.1,55.6,0.0,88.9,55.6,88.9,100.0,0.0
65,0.3,66.7,0.0,100.0,100.0,100.0,100.0,0.0
65,0.5,66.7,0.0,100.0,100.0,100.0,100.0,0.0
65,1.0,66.7,0.0,100.0,100.0,100.0,100.0,0.0
65,2.0,72.2,33.3,100.0,100.0,100.0,100.0,0.0
65,5.0,66.7,100.0,100.0,100.0,100.0,0.0,0.0
70,0.1,55.6,0.0,88.9,55.6,88.9,100.0,0.0
70,0.3,66.7,0.0,100.0,100.0,100.0,100.0,0.0
70,0.5,66.7,0.0,100.0,100.0,100.0,100.0,0.0
70,1.0,66.7,0.0,100.0,100.0,100.0,100.0,0.0
70,2.0,72.2,33.3,100.0,100.0,100.0,100.0,0.0
70,5.0,66.7,100.0,100.0,100.0,100.0,0.0,0.0
75,0.1,55.6,0.0,88.9,55.6,88.9,100.0,0.0
75,0.3,66.7,0.0,100.0,100.0,100.0,100.0,0.0
75,0.5,66.7,0.0,100.0,100.0,100.0,100.0,0.0
75,1.0,66.7,0.0,100.0,100.0,100.0,100.0,0.0
75,2.0,72.2,33.3,100.0,100.0,100.0,100.0,0.0
75,5.0,66.7,100.0,100.0,100.0,100.0,0.0,0.0
80,0.1,55.6,0.0,88.9,55.6,88.9,100.0,0.0
80,0.3,66.7,0.0,100.0,100.0,100.0,100.0,0.0
80,0.5,66.7,0.0,100.0,100.0,100.0,100.0,0.0
80,1.0,66.7,0.0,100.0,100.0,100.0,100.0,0.0
80,2.0,72.2,33.3,100.0,100.0,100.0,100.0,0.0
80,5.0,66.7,100.0,100.0,100.0,100.0,0.0,0.0
85,0.1,55.6,0.0,88.9,55.6,88.9,100.0,0.0
85,0.3,66.7,0.0,100.0,100.0,100.0,100.0,0.0
85,0.5,66.7,0.0,100.0,100.0,100.0,100.0,0.0
85,1.0,66.7,0.0,100.0,100.0,100.0,100.0,0.0
85,2.0,72.2,33.3,100.0,100.0,100.0,100.0,0.0
85,5.0,66.7,100.0,100.0,100.0,100.0,0.0,0.0
90,0.1,55.6,0.0,88.9,55.6,88.9,100.0,0.0
90,0.3,66.7,0.0,100.0,100.0,100.0,100.0,0.0
90,0.5,66.7,0.0,100.0,100.0,100.0,100.0,0.0
90,1.0,66.7,0.0,100.0,100.0,100.0,100.0,0.0
90,2.0,72.2,33.3,100.0,100.0,100.0,100.0,0.0
90,5.0,66.7,100.0,100.0,100.0,100.0,0.0,0.0
95,0.1,55.6,0.0,88.9,55.6,88.9,100.0,0.0
95,0.3,66.7,0.0,100.0,100.0,100.0,100.0,0.0
95,0.5,66.7,0.0,100.0,100.0,100.0,100.0,0.0
95,1.0,66.7,0.0,100.0,100.0,100.0,100.0,0.0
95,2.0,72.2,33.3,100.0,100.0,100.0,100.0,0.0
95,5.0,66.7,100.0,100.0,100.0,100.0,0.0,0.0
