Image,content_removal,copy_move,splicing,jpeg_compression,noise,cropping
Boat,0.9845,0.9922,0.9861,0.6375,0.9739,0.7720
Chemicalplant,0.9901,0.9923,0.9456,0.6410,0.9750,0.7556
Clock,0.9902,0.9940,0.9531,0.7001,0.9789,0.7645
Houses,0.9907,0.9937,0.9546,0.6853,0.9799,0.7771
JetPlane,0.9837,0.9942,0.9881,0.6835,0.9784,0.7779
Lake,0.9846,0.9923,0.9868,0.6536,0.9761,0.7675
Mandril,0.9848,0.9926,0.9867,0.6551,0.9761,0.7700
Peppers,0.9842,0.9926,0.9861,0.6466,0.9753,0.7707
Walter-Cronkite,0.9894,0.9908,0.9392,0.6425,0.9730,0.7467
AVERAGE,0.9869,0.9928,0.9696,0.6606,0.9763,0.7669
