Image,content_removal_PSNR,content_removal_SSIM,copy_move_PSNR,copy_move_SSIM,splicing_PSNR,splicing_SSIM,jpeg_compression_PSNR,jpeg_compression_SSIM,noise_PSNR,noise_SSIM,cropping_PSNR,cropping_SSIM
Boat,37.92,0.9801,43.19,0.9814,42.72,0.9779,38.21,0.9545,40.28,0.9804,31.86,0.9151
Chemicalplant,39.87,0.9895,38.53,0.9857,32.81,0.9562,38.18,0.9786,38.83,0.9870,28.81,0.9085
Clock,42.55,0.9750,43.98,0.9759,40.38,0.9734,40.52,0.9722,40.15,0.9746,31.51,0.9335
Houses,41.98,0.9763,41.83,0.9780,35.37,0.9478,40.58,0.9638,39.89,0.9740,30.86,0.9379
JetPlane,36.08,0.9730,43.11,0.9773,42.56,0.9754,40.78,0.9701,40.50,0.9774,31.48,0.9432
Lake,39.57,0.9811,39.74,0.9810,35.66,0.9768,37.11,0.9497,39.05,0.9802,29.45,0.9128
Mandril,41.40,0.9875,34.31,0.9824,32.65,0.9747,35.73,0.9726,34.53,0.9817,25.80,0.8719
Peppers,39.50,0.9774,41.70,0.9800,39.45,0.9762,38.01,0.9367,40.63,0.9778,30.87,0.9267
Walter-Cronkite,44.06,0.9782,36.53,0.9727,37.47,0.9617,43.66,0.9784,43.56,0.9777,33.02,0.9516
AVERAGE,40.33,0.9798,40.32,0.9794,37.67,0.9689,39.20,0.9641,39.71,0.9790,30.41,0.9224
