Image,content_removal,copy_move,splicing,jpeg_compression,noise,cropping
Boat,0.9997,0.9999,0.9999,0.9997,0.9998,0.9989
Chemicalplant,0.9997,0.9996,0.9987,0.9996,0.9997,0.9966
Clock,1.0000,1.0000,0.9999,0.9999,0.9999,0.9994
Houses,0.9999,0.9999,0.9996,0.9999,0.9998,0.9987
JetPlane,0.9998,1.0000,0.9999,0.9999,0.9999,0.9993
Lake,0.9998,0.9998,0.9996,0.9997,0.9998,0.9982
Mandril,0.9999,0.9994,0.9991,0.9995,0.9994,0.9954
Peppers,0.9998,0.9999,0.9998,0.9997,0.9998,0.9985
Walter-Cronkite,0.9999,0.9993,0.9995,0.9999,0.9999,0.9985
AVERAGE,0.9998,0.9997,0.9995,0.9998,0.9998,0.9982
