Image,content_removal,copy_move,splicing,jpeg_compression,noise,cropping
Boat,1.115,1.232,1.257,2.234,2.983,1.683
Chemicalplant,0.303,0.333,0.343,0.530,0.743,0.483
Clock,0.298,0.333,0.315,0.542,0.717,0.514
Houses,0.329,0.295,0.335,0.594,0.732,0.451
JetPlane,1.271,1.226,1.367,2.314,2.921,1.754
Lake,1.379,1.193,1.291,2.225,3.063,1.738
Mandril,1.269,1.271,1.238,2.226,3.298,2.069
Peppers,1.415,1.405,1.425,2.585,2.926,1.704
Walter-Cronkite,0.353,0.284,0.319,0.544,0.708,0.449
AVERAGE,0.859,0.841,0.877,1.533,2.010,1.205
