dataset,image,attack,psnr,ssim
Kodak,kodim04,content_removal,42.2538,0.979001
Kodak,kodim04,copy_move,38.1570,0.954921
Kodak,kodim04,splicing,37.9946,0.954766
Kodak,kodim04,jpeg_q70,33.4187,0.892910
Kodak,kodim04,snp_005,40.1040,0.976462
Kodak,kodim07,content_removal,38.2948,0.975044
Kodak,kodim07,copy_move,32.4396,0.949878
Kodak,kodim07,splicing,32.4613,0.949983
Kodak,kodim07,jpeg_q70,33.4930,0.941030
Kodak,kodim07,snp_005,40.4572,0.980174
Kodak,kodim13,content_removal,35.2545,0.981318
Kodak,kodim13,copy_move,28.4887,0.918177
Kodak,kodim13,splicing,28.4855,0.918153
Kodak,kodim13,jpeg_q70,27.8988,0.896073
Kodak,kodim13,snp_005,33.7192,0.979361
Kodak,kodim15,content_removal,38.1700,0.973333
Kodak,kodim15,copy_move,34.2082,0.939739
Kodak,kodim15,splicing,34.2231,0.939812
Kodak,kodim15,jpeg_q70,32.5616,0.894051
Kodak,kodim15,snp_005,38.9656,0.972084
Kodak,kodim23,content_removal,41.6337,0.974392
Kodak,kodim23,copy_move,33.9305,0.954477
Kodak,kodim23,splicing,33.8552,0.954300
Kodak,kodim23,jpeg_q70,34.3714,0.924571
Kodak,kodim23,snp_005,40.3335,0.974293
BSDS300,bsds_101085,content_removal,40.9111,0.987233
BSDS300,bsds_101085,copy_move,32.8912,0.953070
BSDS300,bsds_101085,splicing,32.8369,0.953023
BSDS300,bsds_101085,jpeg_q70,31.8248,0.935403
BSDS300,bsds_101085,snp_005,37.4611,0.984657
BSDS300,bsds_101087,content_removal,39.4627,0.976981
BSDS300,bsds_101087,copy_move,33.4290,0.950534
BSDS300,bsds_101087,splicing,33.3398,0.950262
BSDS300,bsds_101087,jpeg_q70,35.8993,0.957948
BSDS300,bsds_101087,snp_005,40.3994,0.979562
BSDS300,bsds_105025,content_removal,41.9810,0.985761
BSDS300,bsds_105025,copy_move,34.4224,0.957877
BSDS300,bsds_105025,splicing,34.4777,0.957913
BSDS300,bsds_105025,jpeg_q70,34.4801,0.959021
BSDS300,bsds_105025,snp_005,39.9038,0.986140
BSDS300,bsds_119082,content_removal,36.7534,0.981557
BSDS300,bsds_119082,copy_move,32.2100,0.958068
BSDS300,bsds_119082,splicing,32.2059,0.958121
BSDS300,bsds_119082,jpeg_q70,34.8228,0.956476
BSDS300,bsds_119082,snp_005,39.7912,0.984761
BSDS300,bsds_126007,content_removal,39.0575,0.973090
BSDS300,bsds_126007,copy_move,33.6925,0.951208
BSDS300,bsds_126007,splicing,33.6289,0.951142
BSDS300,bsds_126007,jpeg_q70,35.8457,0.944948
BSDS300,bsds_126007,snp_005,41.5414,0.976584
Set14,set14_01,content_removal,38.9333,0.987431
Set14,set14_01,copy_move,32.5437,0.947308
Set14,set14_01,splicing,32.5462,0.947332
Set14,set14_01,jpeg_q70,25.5439,0.794300
Set14,set14_01,snp_005,34.7120,0.981610
Set14,set14_06,content_removal,42.1573,0.976729
Set14,set14_06,copy_move,38.4600,0.956114
Set14,set14_06,splicing,38.5718,0.956133
Set14,set14_06,jpeg_q70,33.5441,0.868202
Set14,set14_06,snp_005,41.2473,0.973074
Set14,set14_09,content_removal,40.1193,0.986088
Set14,set14_09,copy_move,34.1184,0.953946
Set14,set14_09,splicing,34.1381,0.953996
Set14,set14_09,jpeg_q70,32.1984,0.838125
Set14,set14_09,snp_005,41.9556,0.984468
Set14,set14_12,content_removal,39.3172,0.977380
Set14,set14_12,copy_move,35.4826,0.946318
Set14,set14_12,splicing,35.4572,0.946428
Set14,set14_12,jpeg_q70,27.6465,0.772230
Set14,set14_12,snp_005,37.6226,0.971369
Set14,set14_14,content_removal,37.6158,0.987731
Set14,set14_14,copy_move,30.1414,0.966025
Set14,set14_14,splicing,30.1281,0.966064
Set14,set14_14,jpeg_q70,27.8751,0.921895
Set14,set14_14,snp_005,36.4466,0.984712
BOSSBase,boss_0001,content_removal,42.0084,0.977753
BOSSBase,boss_0001,copy_move,38.5791,0.971473
BOSSBase,boss_0001,splicing,38.5791,0.971473
BOSSBase,boss_0001,jpeg_q70,42.9570,0.980290
BOSSBase,boss_0001,snp_005,43.5203,0.979274
BOSSBase,boss_1000,content_removal,41.5267,0.979510
BOSSBase,boss_1000,copy_move,36.4593,0.966321
BOSSBase,boss_1000,splicing,36.4593,0.966321
BOSSBase,boss_1000,jpeg_q70,40.6592,0.977601
BOSSBase,boss_1000,snp_005,42.1922,0.982007
BOSSBase,boss_3000,content_removal,41.9420,0.986688
BOSSBase,boss_3000,copy_move,36.2762,0.970446
BOSSBase,boss_3000,splicing,36.2762,0.970446
BOSSBase,boss_3000,jpeg_q70,40.8090,0.984055
BOSSBase,boss_3000,snp_005,42.2526,0.988463
BOSSBase,boss_5000,content_removal,39.8826,0.972406
BOSSBase,boss_5000,copy_move,38.5341,0.963640
BOSSBase,boss_5000,splicing,38.5344,0.963646
BOSSBase,boss_5000,jpeg_q70,43.0293,0.978778
BOSSBase,boss_5000,snp_005,42.9568,0.976007
BOSSBase,boss_7000,content_removal,44.1863,0.969826
BOSSBase,boss_7000,copy_move,41.7669,0.963398
BOSSBase,boss_7000,splicing,41.7669,0.963398
BOSSBase,boss_7000,jpeg_q70,44.2993,0.974755
BOSSBase,boss_7000,snp_005,44.3510,0.970565
UCID,ucid_0001,content_removal,41.7452,0.976843
UCID,ucid_0001,copy_move,34.5369,0.945880
UCID,ucid_0001,splicing,34.5307,0.945846
UCID,ucid_0001,jpeg_q70,31.7206,0.915731
UCID,ucid_0001,snp_005,37.5043,0.976081
UCID,ucid_0100,content_removal,36.8263,0.983399
UCID,ucid_0100,copy_move,31.4804,0.942228
UCID,ucid_0100,splicing,31.4789,0.942201
UCID,ucid_0100,jpeg_q70,29.8198,0.889233
UCID,ucid_0100,snp_005,36.8008,0.983185
UCID,ucid_0300,content_removal,36.2837,0.975166
UCID,ucid_0300,copy_move,30.6757,0.950535
UCID,ucid_0300,splicing,30.7510,0.950625
UCID,ucid_0300,jpeg_q70,32.4050,0.924959
UCID,ucid_0300,snp_005,42.0360,0.979070
UCID,ucid_0500,content_removal,41.7586,0.972816
UCID,ucid_0500,copy_move,38.5003,0.960482
UCID,ucid_0500,splicing,38.8746,0.960580
UCID,ucid_0500,jpeg_q70,39.3218,0.957762
UCID,ucid_0500,snp_005,42.7561,0.974584
UCID,ucid_0700,content_removal,34.3134,0.982274
UCID,ucid_0700,copy_move,27.8473,0.949085
UCID,ucid_0700,splicing,27.8595,0.949219
UCID,ucid_0700,jpeg_q70,28.6053,0.917484
UCID,ucid_0700,snp_005,37.3632,0.985911
