Attack,tau mean (%),tau std,eta mean (%),eta std,Branch (mode),R-PSNR mean,R-PSNR std,R-PSNR CI+-,SSIM mean,SSIM std,SSIM CI+-,MS-SSIM mean
Rotation $5°$,100.0,0.0,0.00,0.01,A,15.65,1.38,1.06,0.3830,0.1636,0.1258,0.4790
Rotation $15°$,100.0,0.0,0.00,0.01,A,13.45,1.31,1.01,0.3166,0.1455,0.1118,0.2576
Rotation $30°$,100.0,0.0,0.00,0.01,A,12.21,1.35,1.04,0.2754,0.1271,0.0977,0.1689
Rotation $45°$,100.0,0.0,0.00,0.00,A,11.65,1.39,1.07,0.2616,0.1226,0.0942,0.1403
Rotation $90°$,100.0,0.0,0.01,0.03,A,11.31,1.53,1.18,0.2370,0.1185,0.0911,nan
Scaling $\times 0.50$,100.0,0.0,0.00,0.00,A,29.44,3.56,2.73,0.8713,0.0761,0.0585,0.9843
Scaling $\times 0.75$,100.0,0.0,0.00,0.00,A,32.79,3.99,3.07,0.9270,0.0412,0.0317,0.9899
Scaling $\times 1.25$,99.7,0.4,0.00,0.00,A,36.42,3.76,2.89,0.9645,0.0156,0.0120,0.9948
Scaling $\times 1.50$,99.5,0.8,0.00,0.00,A,37.39,3.65,2.81,0.9707,0.0117,0.0090,0.9958
Horizontal Flip,100.0,0.0,0.01,0.03,A,12.46,1.30,1.00,0.2766,0.1133,0.0871,nan
Vertical Flip,100.0,0.0,0.01,0.03,A,11.46,1.16,0.89,0.2483,0.1236,0.0950,nan
Rot $15°$ + Scale $\times 0.90$,100.0,0.0,0.00,0.00,A,13.59,1.38,1.06,0.3319,0.1452,0.1116,0.2612
Rot $30°$ + Scale $\times 0.80$,100.0,0.0,0.00,0.00,A,12.33,1.41,1.09,0.2906,0.1265,0.0972,0.1716
