Image,Category,Attack,Branch,tau (%),eta (%),R-PSNR,SSIM,MS-SSIM
portrait,portrait,credential_forgery,B,0.74,0.709,43.97,0.9812,0.9966
portrait,portrait,copy_move,C,1.37,0.099,43.63,0.9802,0.9963
portrait,portrait,splicing,C,2.44,0.099,43.62,0.9790,0.9960
portrait,portrait,social_media_jpeg,A,99.98,0.182,36.22,0.9257,0.9856
landscape,landscape,credential_forgery,B,0.74,1.378,42.90,0.9926,0.9985
landscape,landscape,copy_move,B,1.37,0.758,31.35,0.9838,0.9864
landscape,landscape,splicing,B,2.44,0.769,30.75,0.9749,0.9724
landscape,landscape,social_media_jpeg,B,99.96,1.260,29.21,0.9338,0.9878
urban,urban,credential_forgery,B,0.74,1.204,42.55,0.9811,0.9964
urban,urban,copy_move,B,1.37,0.602,35.45,0.9764,0.9897
urban,urban,splicing,B,2.44,0.583,32.35,0.9709,0.9851
urban,urban,social_media_jpeg,B,99.97,0.654,33.51,0.9095,0.9778
indoor,indoor,credential_forgery,B,0.74,0.727,42.99,0.9823,0.9971
indoor,indoor,copy_move,C,1.37,0.116,41.63,0.9802,0.9969
indoor,indoor,splicing,C,2.44,0.183,40.91,0.9801,0.9960
indoor,indoor,social_media_jpeg,A,99.97,0.291,35.21,0.9574,0.9909
closeup,closeup,credential_forgery,B,0.74,1.427,44.07,0.9771,0.9960
closeup,closeup,copy_move,B,1.37,0.860,25.53,0.9685,0.9736
closeup,closeup,splicing,B,2.44,0.798,27.01,0.9639,0.9720
closeup,closeup,social_media_jpeg,B,99.99,1.097,34.38,0.9284,0.9791
