scene,attack,psnr,ssim,precision,recall,f1,detection_rate
portrait_outdoor,object_removal,30.26,0.9339,1.0000,1.0000,1.0000,
portrait_outdoor,copy_move_forgery,30.26,0.9339,1.0000,1.0000,1.0000,
portrait_outdoor,cross_domain_splice,30.22,0.9338,1.0000,1.0000,1.0000,
portrait_outdoor,social_media_chain,27.27,0.8198,,,,1.0000
portrait_outdoor,print_scan_sim,20.63,0.3893,,,,1.0000
coastal_scene,object_removal,36.51,0.9452,1.0000,1.0000,1.0000,
coastal_scene,copy_move_forgery,36.48,0.9451,1.0000,1.0000,1.0000,
coastal_scene,cross_domain_splice,36.52,0.9452,1.0000,1.0000,1.0000,
coastal_scene,social_media_chain,31.50,0.8388,,,,1.0000
coastal_scene,print_scan_sim,26.94,0.6761,,,,1.0000
urban_street,object_removal,36.15,0.9453,1.0000,1.0000,1.0000,
urban_street,copy_move_forgery,36.17,0.9455,1.0000,1.0000,1.0000,
urban_street,cross_domain_splice,36.11,0.9455,1.0000,1.0000,1.0000,
urban_street,social_media_chain,33.27,0.9047,,,,1.0000
urban_street,print_scan_sim,27.43,0.7573,,,,1.0000
natural_landscape,object_removal,29.26,0.9504,1.0000,1.0000,1.0000,
natural_landscape,copy_move_forgery,29.26,0.9504,1.0000,1.0000,1.0000,
natural_landscape,cross_domain_splice,29.22,0.9502,1.0000,1.0000,1.0000,
natural_landscape,social_media_chain,26.63,0.8748,,,,1.0000
natural_landscape,print_scan_sim,18.92,0.4579,,,,1.0000
textile_macro,object_removal,30.94,0.9221,1.0000,1.0000,1.0000,
textile_macro,copy_move_forgery,30.92,0.9221,1.0000,1.0000,1.0000,
textile_macro,cross_domain_splice,30.94,0.9221,1.0000,1.0000,1.0000,
textile_macro,social_media_chain,28.71,0.8473,,,,1.0000
textile_macro,print_scan_sim,22.61,0.5031,,,,1.0000
